pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
303.921,13H 44M 13.4789999999994S,13.7175,4.565215,2.1901,0.2108,1.8319597,13.706188,13.6726,38.6397,29.0738,3.2021,138.966,0,49453.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
303.838,13H 44M 14.4789999999994S,13.7175,4.565226,2.1895,0.2058,1.8317053,13.704137,13.6726,38.6398,29.0739,3.2026,138.989,0,49454.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
303.996,13H 44M 15.4789999999994S,13.7174,4.565207,2.1897,0.191,1.8316036,13.700719,13.6725,38.6396,29.0738,3.2035,139.027,0,49455.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
304.006,13H 44M 16.4789999999994S,13.7174,4.565209,2.1893,0.1879,1.8316544,13.701403000000001,13.6725,38.6397,29.0739,3.2002,138.882,0,49456.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
303.796,13H 44M 17.4789999999994S,13.7172,4.565172,2.1886,0.1954,1.8317562,13.703454,13.6723,38.6395,29.0738,3.2002,138.885,0,49457.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
303.737,13H 44M 18.4789999999994S,13.7173,4.56517,2.1891,0.1998,1.8320105,13.700035,13.6724,38.6395,29.0738,3.2035,139.026,0,49458.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
304.04,13H 44M 19.4789999999994S,13.7173,4.565184,2.189,0.1915,1.8316544,13.697985,13.6723,38.6395,29.0738,3.1995,138.854,0,49459.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
304.122,13H 44M 20.4789999999994S,13.7173,4.565203,2.1879,0.1782,1.8317053,13.700719,13.6723,38.6396,29.0738,3.1963,138.714,0,49460.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
303.848,13H 44M 21.4789999999994S,13.7175,4.565207,2.1874,0.1695,1.8315527,13.704137,13.6726,38.6396,29.0738,3.1986,138.812,0,49461.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
303.848,13H 44M 22.4789999999994S,13.7174,4.5651910000000004,2.1875,0.1829,1.8318579,13.700719,13.6725,38.6396,29.0738,3.1993,138.844,0,49462.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA NA
